hotel_name,url,locality,reviews,tripadvisor_rating,price_per_night,booking_provider,no_of_deals,hotel_features
The Landmark London,http://www.tripadvisor.com/Hotel_Review-g186338-d193105-Reviews-The_Landmark_London-London_England.html,"London, England, United Kingdom",3578 ,4.5,$317,LHW.com,18,"Free Wifi,Pool"
Charlotte Guest House,http://www.tripadvisor.com/Hotel_Review-g186338-d656240-Reviews-Charlotte_Guest_House-London_England.html,"London, England, United Kingdom",908 ,4.0,$85,Expedia.com,10,"Breakfast included,Free Internet"
Holiday Inn London - Camden Lock,http://www.tripadvisor.com/Hotel_Review-g186338-d277089-Reviews-Holiday_Inn_London_Camden_Lock-London_England.html,"London, England, United Kingdom",1854 ,4.5,$111,Booking.com,13,"Free Wifi,Restaurant,Visit hotel website"
Best Western Mornington Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d193063-Reviews-Best_Western_Mornington_Hotel-London_England.html,"London, England, United Kingdom",1084 ,4.0,$140,Expedia.com,17,"Free Wifi,Room service"
Thistle Piccadilly Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d193044-Reviews-Thistle_Piccadilly_Hotel-London_England.html,"London, England, United Kingdom",1273 ,4.5,$193,Booking.com,16,"Free Wifi,Restaurant,Visit hotel website"
Ibis London Canning Town,http://www.tripadvisor.com/Hotel_Review-g186338-d12938460-Reviews-Ibis_London_Canning_Town-London_England.html,"London, England, United Kingdom",334 ,4.5,$64,Expedia.com,15,"Free Wifi,Restaurant,Visit hotel website"
The Piccadilly London West End,http://www.tripadvisor.com/Hotel_Review-g186338-d193114-Reviews-The_Piccadilly_London_West_End-London_England.html,"London, England, United Kingdom",993 ,5.0,$196,Booking.com,12,"Free Wifi,Restaurant,Visit hotel website"
Ibis London Blackfriars Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d3523344-Reviews-Ibis_London_Blackfriars_Hotel-London_England.html,"London, England, United Kingdom",3997 ,4.0,$94,Booking.com,15,"Free Wifi,Restaurant,Visit hotel website"
The Westbridge Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d3398027-Reviews-The_Westbridge_Hotel-London_England.html,"London, England, United Kingdom",1821 ,4.5,$97,Booking.com,16,"Free Wifi,Restaurant,Visit hotel website"
Radisson Blu Edwardian New Providence Wharf Hotel,http://www.tripadvisor.com/Hotel_Review-g186338-d651411-Reviews-Radisson_Blu_Edwardian_New_Providence_Wharf_Hotel-London_England.html,"London, England, United Kingdom",4397 ,4.5,$103,Official Hotel,19,"Free Wifi,Restaurant"
The Z Hotel City,http://www.tripadvisor.com/Hotel_Review-g186338-d9608180-Reviews-The_Z_Hotel_City-London_England.html,"London, England, United Kingdom",660 ,4.0,$81,Booking.com,7,"Free Wifi,Bar/Lounge"
